max_depth,eta,subsample,colsample_bytree,colsample_bylevel,lambdaX,gamma,ROCtest,ROCtrain-test,PRtest,PRtrain-PRtest
8.0,0.09,0.7,0.6,0.6,0.7,8.0,0.9023957871396895,0.07275408813747242,0.543826906030921,0.3067772009355807
3.0,0.01,0.6,0.6,0.7,0.4,5.0,0.8473592017738361,0.03560746951219507,0.45817480131112703,0.11936512198204413
6.0,0.07,0.9,0.5,1.0,0.6,7.0,0.9006363636363638,0.06862105044345868,0.5475894270475219,0.29622307429797634
6.0,0.03,0.6,0.9,0.8,0.8,7.0,0.9016119733924611,0.07482566518847011,0.5506379225956618,0.28790222183934644
3.0,0.05,0.5,0.5,0.9,0.3,8.0,0.8787572062084257,0.05689862804878065,0.5194680219420393,0.1649610458923534
4.0,0.07,0.8,0.8,1.0,0.9,4.0,0.905950110864745,0.08565056818181827,0.5692651039956264,0.3625970163292953
5.0,0.02,0.4,0.6,0.7,0.6,4.0,0.8959966740576496,0.08872893569844797,0.5378855511865277,0.35051678983644385
5.0,0.07,0.7,0.5,0.7,0.4,6.0,0.9001951219512195,0.08901593680709541,0.5482393786958617,0.354614948236203
6.0,0.03,0.6,0.9,0.7,0.6,7.0,0.9046840354767184,0.08243777716186251,0.5561877708656068,0.3326546251930481
4.0,0.1,0.8,0.8,0.9,0.3,5.0,0.9041474501108647,0.08556180709534367,0.5598912468835873,0.35963547151651065
7.0,0.08,0.4,0.5,0.6,0.4,4.0,0.8888436807095343,0.1064679878048781,0.5192649285660623,0.4344766067437139
7.0,0.07,0.4,0.7,0.7,0.5,6.0,0.8975698447893571,0.08710587583148544,0.5399979986018845,0.3407333878637282
5.0,0.09,0.7,0.9,1.0,0.3,4.0,0.8992483370288248,0.0874626524390244,0.5591869777532574,0.3809520371260101
5.0,0.02,0.6,0.8,0.6,0.9,4.0,0.9033625277161862,0.08595814855875827,0.5616062189472606,0.3573714759594834
3.0,0.04,0.7,0.8,1.0,1.0,7.0,0.8842771618625278,0.04716463414634142,0.5412996473132177,0.1754234451577691
8.0,0.01,0.7,0.8,0.6,0.5,7.0,0.8746762749445676,0.04837839523281606,0.5038310905180508,0.22702897434420666
8.0,0.07,0.6,0.5,0.7,0.6,4.0,0.8911585365853659,0.08067717572062083,0.5429542565331652,0.3570853728259217
3.0,0.06,0.8,0.7,1.0,0.5,6.0,0.8959767184035476,0.06896417682926836,0.5535955406264517,0.2437201706166956
3.0,0.05,0.8,0.8,0.9,0.4,8.0,0.8919611973392462,0.05893147172948987,0.5399111348815973,0.19815536628336694
3.0,0.02,0.6,0.5,0.8,0.8,5.0,0.8858359201773836,0.05998641906873625,0.5300276282209411,0.20629886716295087
6.0,0.05,0.9,0.6,0.9,0.3,8.0,0.9015521064301553,0.08422699556541013,0.5444451429687487,0.3338465866156426
5.0,0.05,0.9,0.7,1.0,0.8,6.0,0.9041729490022175,0.08054760254988902,0.5610996890206337,0.324358615925624
7.0,0.08,0.7,0.8,0.9,0.7,5.0,0.9065365853658536,0.08852993348115312,0.5609142149890933,0.3947522946796923
8.0,0.08,0.7,0.8,1.0,0.6,7.0,0.9029434589800444,0.08917953159645242,0.5573851795671422,0.36878202687736616
7.0,0.01,0.6,0.5,0.7,0.6,7.0,0.8745997782705099,0.05314862804878051,0.5023379606390332,0.19645579706153327
5.0,0.03,0.9,0.7,0.9,0.4,7.0,0.8950332594235034,0.0714429046563193,0.5528472243222782,0.28594399294426864
7.0,0.03,0.6,0.7,0.8,0.5,7.0,0.897371396895787,0.08420717849223958,0.5558520593233985,0.3083373272241344
3.0,0.04,0.6,0.6,1.0,0.9,8.0,0.8896840354767184,0.05846189024390258,0.5389085541171609,0.19134695875465824
6.0,0.01,0.6,0.9,0.8,0.3,8.0,0.8899567627494456,0.058142461197339346,0.5294070236713633,0.22931557203207542
3.0,0.04,0.8,0.7,1.0,1.0,8.0,0.8917294900221728,0.05387361419068737,0.5397892889906741,0.1839967910588779
8.0,0.08,0.9,0.5,0.8,0.4,7.0,0.8989944567627495,0.09489939024390248,0.5520234065655839,0.38631229551571156
6.0,0.07,0.6,0.9,1.0,0.9,8.0,0.9026097560975611,0.07718327328159635,0.5624900120014686,0.28923102248366417
4.0,0.09,0.7,0.8,0.9,0.1,7.0,0.8955509977827051,0.07866546563192911,0.5425991995122348,0.2854710072957869
5.0,0.02,0.7,0.5,1.0,0.4,5.0,0.8917505543237251,0.06092710643015509,0.5368839307573461,0.2748379012139236
7.0,0.03,0.4,0.5,0.9,0.3,4.0,0.9000432372505542,0.09598877494456759,0.5458972663612023,0.4098005978725795
4.0,0.01,0.8,0.7,0.7,0.4,4.0,0.8424822616407981,0.02800408813747246,0.45807857696010296,0.1442199263849277
6.0,0.01,0.4,0.7,0.9,0.1,7.0,0.8551164079822616,0.03979857261640796,0.4763550777344426,0.18055500248917228
4.0,0.04,0.8,0.5,0.8,0.7,8.0,0.8894301552106431,0.0527735587583148,0.5435473969001682,0.19296613657901862
4.0,0.01,0.4,0.5,0.7,0.4,4.0,0.8441840354767184,0.041787347560975574,0.4662015091487892,0.14352303875407835
8.0,0.06,0.9,0.6,0.7,0.1,7.0,0.9031374722838137,0.08972935144124183,0.549693561781115,0.3844802113102994
3.0,0.1,0.5,0.7,1.0,0.1,4.0,0.8890199556541021,0.0836638026607538,0.5425545547375958,0.2933289478311545
8.0,0.08,0.9,0.9,0.9,0.6,5.0,0.9063170731707318,0.0916585365853656,0.5653103076492487,0.4136524852097183
4.0,0.07,0.8,0.8,0.9,0.5,4.0,0.9039667405764968,0.08725235587583136,0.565822491668273,0.3717777168524089
5.0,0.05,0.6,0.5,0.8,1.0,5.0,0.8985631929046564,0.08024722838137477,0.5560960720385804,0.316376236729878
8.0,0.05,0.8,0.8,0.9,0.8,8.0,0.9041696230598669,0.0820960365853659,0.5601747917563136,0.32730301124530736
8.0,0.09,0.8,0.7,0.7,0.1,4.0,0.9050975609756098,0.09468708425720618,0.5531852433447917,0.4439550826918329
